Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL191714,,Oc1ccc2cc(-c3ccccc3)ccc2c1,IC50,'=',1345.0,nM
CHEMBL209978,,O=C1CCC2(c3ccccc3)Cc3cc(O)ccc3C2=C1Br,IC50,'=',113.0,nM
CHEMBL93826,,Oc1ccc(C2CN(Cc3ccccc3)Cc3cc(O)ccc32)cc1,IC50,'=',20.1,nM
CHEMBL370849,,Oc1ccc2c(c1)sc1c3cc(O)ccc3n(Cc3ccc(OCCN4CCCC4)cc3)c21,IC50,'=',6.0,nM
CHEMBL206584,,Cc1cc(O)c(C)c2c1-c1ccc(O)c(C)c1OC2C,IC50,'=',237.0,nM
CHEMBL202673,,CCCC1Oc2c(ccc(O)c2C)-c2c(C)cc(O)cc21,IC50,'=',626.0,nM
CHEMBL398456,,C=C[C@]12CCC(C)=CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,IC50,'=',1440.0,nM
CHEMBL206426,,O=c1c2c(O)cc(O)cc2ncn1-c1ccc(O)nc1,IC50,'=',66860.0,nM
CHEMBL205577,,Cc1nc2cc(O)cc(O)c2c(=O)n1-c1ccc(O)cc1,IC50,'=',33248.0,nM
CHEMBL382698,,C=C(C)c1cc(O)cc2ncn(-c3ccc(O)cc3)c(=O)c12,IC50,'=',43968.0,nM
CHEMBL207101,,Oc1cc(O)c2c(=S)n(-c3ccc(O)c(F)c3)cnc2c1,IC50,'=',3080.0,nM
CHEMBL93546,,Oc1ccc2c(c1)SC(c1ccc(F)cc1)C(c1ccc(OCCN3CCCCC3)cc1)O2,IC50,'=',94.0,nM
CHEMBL241300,,CC(CCc1ccccc1)NC(=O)Cc1c(-c2ccccc2)[nH]c2ccccc12,IC50,'=',11.0,nM
CHEMBL241484,,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)[nH]c2cc(OCCCCN3CCCCC3)ccc12,IC50,'=',10.1,nM
CHEMBL209851,,CCCCC12CCC(=O)C(Br)=C1c1ccc(O)cc1C2,IC50,'=',141.0,nM
CHEMBL378990,,CC12CCC(=O)C(Br)=C1c1ccc3[nH]ncc3c1C2,IC50,'=',1990.0,nM
CHEMBL215409,,CC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]ncc3c1C2=O,IC50,'=',58.0,nM
CHEMBL2137046,AFIMOXIFENE,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,IC50,'=',10.3,nM
CHEMBL2112470,,CC[C@](C)(c1ccccc1)[C@@H](c1ccc(O)cc1)c1ccc(OCCCC(=O)O)cc1,IC50,'=',6000.0,nM
CHEMBL433581,,C[C@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4[C@@H](C)[C@@H]3c3ccc(O)cc3)cc2)C1,IC50,'=',1.3,nM
CHEMBL180973,,O=C(c1ccc(N2CCN(C(=O)c3ccccc3Cl)CC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,IC50,'=',1.72,nM
CHEMBL189303,,C=CCc1cc(O)cc2nc(-c3ccc(O)c(F)c3)oc12,IC50,'=',1100.0,nM
CHEMBL101807,,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1,IC50,'=',2.6,nM
CHEMBL291002,,CCCc1cc(O)cc2c1C(=O)[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,IC50,'=',652.0,nM
CHEMBL1087546,,Oc1ccc2c(c1)O[C@H](c1ccc(OCCCN3CCCCC3)cc1)C1=C2CCOc2cc(O)ccc21,IC50,'=',1200.0,nM
CHEMBL3806167,,CCCCCCCCCCNCCOc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1,IC50,'=',40.0,nM
CHEMBL4650365,CAMIZESTRANT,C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2ccc(NC3CN(CCCF)C3)cn2)N1CC(F)(F)F,IC50,'=',0.1585,nM
CHEMBL4749445,,C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2ccc(NC3CN(CCCF)C3)c(F)n2)N1CC(F)(F)F,IC50,'=',0.1995,nM
CHEMBL4850019,,CN[C@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCN(C(=O)COCCOCc2cn(CCOc3ccc(Cn4c(-c5ccc(O)cc5)c(C)c5cc(O)ccc54)cc3)nn2)CC1,IC50,'=',52.0,nM
CHEMBL1669762,,CC(=O)Oc1cc2c(c(OC(C)=O)c1)C(=O)O[C@H](C)CCCCCCC2,IC50,'=',8360.0,nM
