Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL3675707,,O=c1cc(-c2ccnc(N[C@@H]3C[C@@H]4C[C@H]3CO4)n2)ccn1[C@H](CO)c1ccc(Cl)c(F)c1,IC50,'=',6.3,nM
CHEMBL3675711,,Cc1cc(-c2ccnc(NC3CCOCC3)n2)cc(=O)n1[C@H](CO)c1ccc(Cl)c(F)c1,IC50,'=',3.3,nM
CHEMBL3654833,,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@@H]4CN(C)C[C@H]4C)ncc23)ccn1,IC50,'=',3.588,nM
CHEMBL3654856,,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@H](C)c4cc(Cl)ccn4)ncc23)ccn1,IC50,'=',1.056,nM
CHEMBL3658734,,Cc1cc(-c2n[nH]c3cc(NC(=O)NCC4CC(C)(C)OC(C)(C)C4)ncc23)ccn1,IC50,'=',1.445,nM
CHEMBL3658740,,Cc1cc(-c2n[nH]c3cc(NC(=O)NC(C)c4ccc(S(C)(=O)=O)cc4)ncc23)ccn1,IC50,'=',0.5815,nM
CHEMBL210390,,Nc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1,IC50,'=',1200.0,nM
CHEMBL3695633,,CCNC(=O)Nc1ccc2ncc(Nc3ccc(C)c(OC)c3)nc2n1,IC50,'=',26900.0,nM
CHEMBL3695648,,CCNC(=O)Nc1ccc2ncc(-c3ccc(OS(=O)(=O)c4ccc(C)cc4)c(OC)c3)nc2n1,IC50,'=',203.0,nM
CHEMBL3654802,,Cc1cc(-c2n[nH]c3c(C)c(NC(=O)N[C@H](C)c4ccccc4)ncc23)ccn1,IC50,'=',1.581,nM
CHEMBL3654805,,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccn4)ncc23)ccn1,IC50,'=',0.9142,nM
CHEMBL3654810,,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@H]4CN(C)C[C@@H]4c4ccccc4)ncc23)ccn1,IC50,'=',18.76,nM
CHEMBL3654826,,Cc1cc(-c2n[nH]c3cc(NC(=O)NCCF)ncc23)ccn1,IC50,'=',4.855,nM
CHEMBL3654841,,CN1C[C@@H](NC(=O)Nc2cc3[nH]nc(-c4ccc(F)cc4)c3cn2)[C@H](c2ccccc2)C1,IC50,'=',0.3938,nM
CHEMBL3654844,,CC[C@H](NC(=O)Nc1cc2[nH]nc(-c3ccnc(C)c3)c2cn1)c1ccccn1,IC50,'=',41.64,nM
CHEMBL3662969,,Cc1cc(-c2n[nH]c3cc(NC(=O)NCc4ccc(F)cc4F)ncc23)ccn1,IC50,'=',1.561,nM
CHEMBL3658663,,O=C(Nc1cc2[nH]nc(C3CC3)c2cn1)N[C@@H]1CCCOc2ccccc21,IC50,'=',2.675,nM
CHEMBL3658775,,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@@H](C)c4ccc(F)c(F)c4)ncc23)ccn1,IC50,'=',34.14,nM
CHEMBL3658686,,CO[C@@H]1CN(C)C[C@H]1NC(=O)Nc1cc2[nH]nc(-c3ccc(F)cc3)c2cn1,IC50,'=',30.24,nM
CHEMBL3658724,,Cc1cc(-c2n[nH]c3cc(NC(=O)Nc4noc5cnccc45)ncc23)ccn1,IC50,'=',0.3776,nM
CHEMBL3658727,,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@@H](CO)c4cccc5cc[nH]c45)ncc23)ccn1,IC50,'=',25.94,nM
