Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL351757,,CSCC[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCC(N)=O)C(N)=O,IC50,'=',1500.0,nM
CHEMBL4778227,,O=C1CCC(N2C(=O)c3cccc(C#CCCCNC(=O)c4cc5c(o4)C(=O)c4ccccc4C5=O)c3C2=O)C(=O)N1,IC50,'=',4200.0,nM
CHEMBL4755621,,O=C1CCC(N2C(=O)c3cccc(OCCCCNC(=O)c4cc5c(o4)C(=O)c4ccccc4C5=O)c3C2=O)C(=O)N1,IC50,'=',5700.0,nM
CHEMBL4747694,,O=C(COc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O)NCCCCNC(=O)c1cc2c(o1)C(=O)c1ccccc1C2=O,IC50,'=',10300.0,nM
CHEMBL4789855,,CNC(=O)c1ccc(N(Cc2cnc(C3CCCCC3)cn2)C(=O)[C@H]2CCN2S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1O,IC50,'=',1900.0,nM
CHEMBL1526413,,Cc1cc(OCC(=O)Nc2ccncc2)ccc1Br,IC50,'=',6701.0,nM
CHEMBL1329661,,COc1ccc2nc3c(cc2c1)c(NC(=O)c1cccs1)nn3CC(C)C,IC50,'=',3748.0,nM
CHEMBL1478316,,O=C(Nc1ccncc1)c1ccc(-c2ccccc2)cc1,IC50,'=',2157.0,nM
CHEMBL1459929,,NNC(=O)c1cccc(COc2ccccc2Br)c1,IC50,'=',3251.0,nM
CHEMBL156448,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(N)=O)C(C)C,IC50,'=',8000.0,nM
CHEMBL1464371,,Clc1ccc2ncc(-c3nnnn3-c3ccccc3)c(-c3ccccc3)c2c1,IC50,'=',8014.0,nM
CHEMBL1386322,,Cc1ccsc1/C=C1\CCc2ccccc2C1=O,IC50,'=',5036.0,nM
CHEMBL1562110,,Cc1nc2sccn2c1-c1csc(NCc2ccccc2)n1,IC50,'=',4370.0,nM
CHEMBL1587759,,O=C(Oc1ccccc1N1C(=O)C2CCCCC2C1=O)c1ccccc1,IC50,'=',7928.0,nM
CHEMBL1432712,,Cn1c(=O)oc2cc(S(=O)(=O)N3CCCC(C(=O)N4CC=C(c5ccccc5)CC4)C3)ccc21,IC50,'=',5413.0,nM
CHEMBL449511,,NC(=O)CC[C@H](NC(=O)[C@@H]1Cc2cccc3c2N1C(=O)[C@@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)CC3)C(N)=O,IC50,'=',233.0,nM
CHEMBL455671,,CS(=O)(=O)CC[C@H](NC(=O)[C@@H]1Cc2cccc3c2N1C(=O)[C@@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)CC3)C(N)=O,IC50,'=',7030.0,nM
CHEMBL513887,,NC(=O)[C@@H]1Cc2cccc3c2N1C(=O)[C@@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)CC3,IC50,'=',35600.0,nM
CHEMBL382709,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N(C)C,IC50,'=',1850.0,nM
CHEMBL3337616,,CCOc1ccc2nc(Nc3nc(=O)cc(-c4ccccc4)[nH]3)nc(C)c2c1,IC50,'=',3400.0,nM
CHEMBL3337619,,COc1ccc2nc(Nc3nc(=O)c(Cc4ccccc4)c(C)[nH]3)nc(C)c2c1,IC50,'=',34700.0,nM
CHEMBL3337622,,Cc1cc(=O)nc(Nc2nc(C)c3cc(C)c(C)cc3n2)[nH]1,IC50,'=',24700.0,nM
