Names	total	elements
		CHEMBL4459978
		CHEMBL4436563
		CHEMBL5219395
		CHEMBL3933123
		CHEMBL415738
		CHEMBL3918216
		CHEMBL4243157
		CHEMBL5071181
		CHEMBL334973
		CHEMBL510845
		CHEMBL3910989
		CHEMBL515401
		CHEMBL1821890
		CHEMBL4075103
		CHEMBL2018766
		CHEMBL65858
		CHEMBL2337362
		CHEMBL4227490
		CHEMBL1946846
		CHEMBL4284841
		CHEMBL3233790
		CHEMBL3883652
		CHEMBL5189340
		CHEMBL327307
		CHEMBL354300
		CHEMBL56266
		CHEMBL1761938
		CHEMBL8271
		CHEMBL5200760
		CHEMBL3676338
		CHEMBL4060198
		CHEMBL328955
		CHEMBL3736508
		CHEMBL5288264
		CHEMBL13354
		CHEMBL66718
		CHEMBL3818062
		CHEMBL3963403
		CHEMBL4784258
		CHEMBL381604
		CHEMBL3890186
		CHEMBL3086105
		CHEMBL20811
		CHEMBL3975588
		CHEMBL3699600
		CHEMBL3092298
		CHEMBL4797395
		CHEMBL309334
		CHEMBL326041
		CHEMBL3623278
		CHEMBL3805283
		CHEMBL168915
		CHEMBL2283257
		CHEMBL93346
		CHEMBL3775536
		CHEMBL323970
		CHEMBL139307
		CHEMBL4521028
		CHEMBL589119
		CHEMBL3622646
		CHEMBL4458344
		CHEMBL94109
		CHEMBL4224704
		CHEMBL2334002
		CHEMBL94431
		CHEMBL5283553
		CHEMBL4787698
		CHEMBL345988
		CHEMBL5177576
		CHEMBL3774471
		CHEMBL4846276
		CHEMBL180415
		CHEMBL4060003
		CHEMBL1173794
		CHEMBL489349
		CHEMBL1958212
		CHEMBL312451
		CHEMBL3936272
		CHEMBL172517
		CHEMBL3699615
		CHEMBL3612594
		CHEMBL4093535
		CHEMBL7929
		CHEMBL5094237
		CHEMBL544868
		CHEMBL604485
		CHEMBL2316148
		CHEMBL3973973
		CHEMBL117696
		CHEMBL5201543
		CHEMBL3925959
		CHEMBL2408823
		CHEMBL3899385
		CHEMBL298931
		CHEMBL124673
		CHEMBL3087198
		CHEMBL1172855
		CHEMBL2385962
		CHEMBL4081727
